CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,CAT_OCUP,EMPLEO,PP02B,PP02E,PP02H,PP02I,PP03C,PP03G,PP03I,PP04A,PP04G,PP05B3,PP05H,PP05I,PP05J,PP05K,PP07A,PP07I3,PP07J,PP07K,PP08D1,P21,ITF,DECINDR,IPCF,ANIO,CH03,CH12,CH13,CH14,PP3E_TOT,PP3F_TOT,horastrab,trabaja,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,educ,edad_rango,ingreso_total_familiar,ingreso_total_familiar_millones,CH03_str,IX_TOT
TQRMNORYVHKLKTCDEGPDJ00880543,1,1,1,58,2,1,1,3.0,1.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,628000,5,209333.33,2025,1.0,2.0,2.0,3.0,,,0.0,0,1.0,2.52,920246.04,1,3364,3.0,50+,628000.0,0.628,1,3.0
TQRMNORYVHKLKTCDEGPDJ00880543,1,2,2,51,2,4,7,3.0,7.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,628000,0,209333.33,2025,2.0,,,,,,0.0,0,0.76,2.52,920246.04,1,2601,,50+,628000.0,0.628,2,3.0
TQRMNORYVHKLKTCDEGPDJ00880543,1,3,2,23,5,1,5,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,628000,1,209333.33,2025,3.0,7.0,2.0,2.0,,,0.0,0,0.76,2.52,920246.04,1,529,14.0,18-30,628000.0,0.628,3,3.0
TQRMNOPUYHMLLLCDEGPDJ00880544,1,1,2,60,3,1,6,3.0,1.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,2200000,7,550000.0,2025,1.0,6.0,1.0,9.0,,,0.0,0,0.76,3.54,1292726.58,0,3600,15.0,50+,2200000.0,2.2,1,4.0
TQRMNOPUYHMLLLCDEGPDJ00880544,1,2,1,29,5,1,5,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,500000,2200000,5,550000.0,2025,3.0,7.0,2.0,4.0,30.0,0.0,30.0,1,1.02,3.54,1292726.58,0,841,16.0,18-30,2200000.0,2.2,3,4.0
TQRMNOPUYHMLLLCDEGPDJ00880544,1,3,1,30,5,4,5,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,2200000,0,550000.0,2025,3.0,7.0,2.0,4.0,,,0.0,0,1.0,3.54,1292726.58,0,900,16.0,18-30,2200000.0,2.2,3,4.0
TQRMNOPUYHMLLLCDEGPDJ00880544,1,4,2,28,5,1,6,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000,2200000,7,550000.0,2025,3.0,7.0,1.0,9.0,30.0,0.0,30.0,1,0.76,3.54,1292726.58,0,784,17.0,18-30,2200000.0,2.2,3,4.0
TQRMNOYWQHKOKUCDEGPDJ00857938,1,3,1,10,5,4,1,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,1729000,0,432250.0,2025,3.0,2.0,2.0,4.0,,,0.0,0,0.79,3.22,1175869.9400000002,0,100,4.0,6-12,1729000.0,1.729,3,4.0
TQRMNOYWQHKOKUCDEGPDJ00857938,1,4,1,7,5,4,1,4.0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0,1729000,0,432250.0,2025,3.0,2.0,2.0,1.0,,,0.0,0,0.66,3.22,1175869.9400000002,0,49,1.0,6-12,1729000.0,1.729,3,4.0
TQRMNOYWQHKOKUCDEGPDJ00857938,1,1,1,33,1,4,5,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,720000.0,720000,1729000,7,432250.0,2025,1.0,6.0,2.0,2.0,48.0,0.0,48.0,1,1.0,3.22,1175869.9400000002,0,1089,14.0,31-50,1729000.0,1.729,1,4.0
